Library System,Branch Name,1x Branch Unique ID,School District Served,Phone,Physical Address,City,Province,Postal Code,Latitude,Longitude,"460x Total branch physical materials, volumes held",556x Branch circulation of print and other physical materials,565x Branch circulation of children's materials,610x Branch reference transactions,775x In person visits to this branch or service point,680x Branch in-library adult programs,682x Branch outreach adult programs,690x Attendance at adult programs,700x Branch in-library children's programs,702x Branch outreach children's programs,710x Attendance at children's programs,715x Branch in-library young adult programs,717x Branch outreach young adult programs,716x Attendance at young adult programs,"671x Branch in-library newcomer/ELL programs, all ages","673x Branch outreach newcomer/ELL programs, all ages",672x Attendance at branch newcomer/ELL programs,"740x Professional Librarians, hours worked at this branch","742x Library Technicians, hours worked at this branch","752x Community Librarians, hours worked at this branch","770x Other Staff, hours worked at this branch",975x Number of photocopiers in library branch,852x Is this location LEED certified?,854x Is this location a Shared Space facility?,"860x Branch space/size, total square metres",890x Hours open per year at this location,920x Days open per year at this location
Alert Bay Public Library & Museum,Alert Bay Public Library & Museum,BABM001,85,(250) 974-5721,118 Fir Street,Alert Bay,BC,V0N 1A0,50.577201,-126.90657,9271,2394,401,2159,4164,0,1,21,0,4,304,0,0,0,0,0,0,0,0,786,444,1,No,No,213.36,686,209
Beaver Valley Public Library,Beaver Valley Public Library,BFBV001,20,(250) 367-7114,1847 - 1st Street,Fruitvale,BC,V0G 1L0,49.11381,-117.550079,24877,20249,5130,10200,16250,9,0,76,133,16,1608,0,0,0,0,0,0,n.a.,n.a.,4940,1350,1,No,No,270,2320,321
Bowen Island Public Library,Bowen Island Public Library,BBI001,45,(604) 947-9788,430 Bowen Island Trunk,Bowen Island,BC,V0N 1G0,49.379668,-123.333937,14715,33330,13899,6145,34850,531,2,1006,64,15,787,0,0,0,0,0,0,2381,0,1157,2265,1,No,No,209,1803,259
Burnaby Public Library,Bob Prittie Metrotown Branch,BB001,41,(604) 436-5427,6100 Willingdon Avenue,Burnaby,BC,V5H 4N5,49.228683,-123.006456,400959,1153067,473222,97099,735362,113,23,2948,373,44,20295,13,n.d.,165,38,n.d.,752,47193,987,n.a.,106233,4,No,No,5673,3612,339
Burnaby Public Library,Cameron,BB002,41,(604) 421-5454,9523 Cameron Street,Burnaby,BC,V3J 1L6,49.253462,-122.899745,56945,452763,225755,22239,245161,45,9,1264,224,13,10413,10,n.d.,67,2,n.d.,15,6272,n.a.,n.a.,16060,1,No,Yes,465,2901,341
Burnaby Public Library,Tommy Douglas Branch,BB004,41,(604) 522-3971,7311 Kingsway,Burnaby,BC,V5E 1G8,49.281898,-123.000644,89334,560440,295258,38983,378819,263,26,6072,125,33,8308,15,n.d.,94,56,n.d.,483,9528,n.a.,n.a.,26457,1,Yes,No,1627.5,3329,341
Burnaby Public Library,McGill,BB003,41,(604) 299-8955,4595 Albert St,Burnaby,BC,V5C 2G6,49.218365,-122.953688,161339,813101,392158,40882,434104,162,11,4214,254,37,13961,20,n.d.,316,21,n.d.,298,13272,n.a.,n.a.,29405,1,No,No,1860,3329,341
Burns Lake Public Library,Burns Lake Public Library,BBUL001,91,(250) 692-3192,585 Government Street,Burns Lake,BC,V0J 1E0,54.231245,-125.764894,45163,52319,12484,5200,41637,28,3,147,136,5,1567,2,1,241,0,0,0,0,0,3224,5668,1,No,No,684,2215,296
Cariboo Regional District Library System,Alexis Creek,BWLC002,27,(250) 394-4346,7651 Yells Road,Alexis Creek,BC,V0L 1A0,52.08521,-123.276801,6051,922,311,130,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,1,No,Yes,15,388,97
Cariboo Regional District Library System,Anahim Lake,BWLC003,27,(250) 742- 2056,"Unit #1 - 2409 Whispering Pines Trailer Court, Hwy 20",Anahim Lake,BC,V0L 1C0,52.459101,-125.301491,4864,916,97,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,1,No,No,89,402,102
Cariboo Regional District Library System,Big Lake,BWLC004,59,(250) 243-2355,4056 Lakeview Rd,Big Lake,BC,V0L 1G0,52.41529,-121.847499,7062,5555,1708,520,2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,1,No,Yes,28,536,104
Cariboo Regional District Library System,Bridge Lake,BWLC005,27,(250 593-4545,7567 Bridge Lake Road,Bridge Lake,BC,V0K 1E0,51.53757,-120.786749,5114,2297,578,327,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,1,No,Yes,83,468,117
Cariboo Regional District Library System,Forest Grove,BWLC006,27,(250) 397-2927,4485 Eagle Creek Road,Forest Grove,BC,V0K 1M0,51.84176,-121.024609,4471,2839,209,56,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,1,No,Yes,76,500,100
Cariboo Regional District Library System,Horsefly,BWLC007,27,(250) 620-3345,5779 Walters Drive,Horsefly,BC,V0L 1L0,52.333719,-121.420555,7122,5121,648,423,3086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,1,No,No,89,624,156
Cariboo Regional District Library System,Lac La Hache,BWLC008,27,(250) 396-7642,4787 Clark Avenue,Lac La Hache,BC,V0K 1T0,51.82892,-121.533203,6235,1178,160,22,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,1,No,Yes,89,495,99
Cariboo Regional District Library System,Likely,BWLC009,27,(250) 790-2234,6163 Keithly Creek Road,Likely,BC,V0L 1N0,52.621083,-121.535935,7192,1617,655,0,688,7,0,28,58,0,376,0,0,0,0,0,0,0,0,0,419,1,No,No,89,408,102
Cariboo Regional District Library System,McLeese Lake,BWLC010,27,(250) 297-6533,6749 Highway 97 N,McLeese Lake,BC,V0L 1P0,52.409823,-122.286079,3856,349,24,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,1,No,No,54,390,78
Cariboo Regional District Library System,Nazko,BWLC011,28,(250) 249-5289,1351 Palmer Road,Quesnel,BC,V2J 3H9,52.945292,-123.577625,7896,1450,115,0,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,1,No,No,71,368,92
Cariboo Regional District Library System,Tatla Lake,BWLC013,27,(250) 476-3424,16451 Chilcotin Highway 20,Tatla Lake,BC,V0L 1V0,51.9052811,-124.5945904,6596,3980,672,110,1659,0,0,0,22,0,106,0,0,0,0,0,0,0,0,0,624,1,No,Yes,56,612,102
Cariboo Regional District Library System,100 Mile House Branch,BWLC001,27,(250) 395-2332,449 S. Birch Avenue,100 Mile House,BC,V0K 2E0,51.64139,-121.29562,38612,96893,13720,13590,69222,5,14,99,232,1,915,0,0,0,0,0,0,0,3640,0,7778,1,No,No,815,2194,239
Cariboo Regional District Library System,Quesnel Branch,BWLC012,28,(250) 992-7912,101 - #410 Kinchant Street,Quesnel,BC,V2J 7J5,52.979328,-122.493927,70910,100327,18182,8959,62504,44,0,671,172,0,2233,10,0,43,0,0,0,1820,1820,0,8402,1,No,Yes,1171,2288,260
Cariboo Regional District Library System,Wells Branch,BWLC014,28,(250) 994-3424,4269 Saunders Avenue,Wells,BC,V0K 2R0,53.104898,-121.572226,8473,1285,252,370,1197,1,0,2,36,0,144,0,0,0,0,0,0,0,0,0,624,1,No,Yes,84,624,208
Cariboo Regional District Library System,Williams Lake,BWLC015,27,(250) 392-3630,Suite A - 180 North 3rd Avenue,Williams Lake,BC,V2G 2A4,52.13175,-122.139817,76984,116141,26945,4027,153831,52,19,444,80,3,851,1,0,11,0,0,0,1820,1820,0,8792,1,No,Yes,998,2204,250
Castlegar & District Public Library,Castlegar & District Public Library,BCD001,20,(250) 365-6611,1005 Third Street,Castlegar,BC,V1N 2A2,49.326463,-117.663205,70890,118398,42915,2420,83092,151,49,714,165,58,2698,18,7,203,76,0,117,1820,3990,4620,1714,1,No,No,1222,2864,325
Chetwynd Public Library,Chetwynd Public Library,BCHE001,59,(250) 788-2559,5012 - 46th Street,Chetwynd,BC,V0C 1J0,55.695967,-121.613889,26895,24091,11813,12089,60658,161,22,1397,288,11,2873,6,3,802,1,0,50,0,0,7348,3632,1,No,No,724,3133,349
Coquitlam Public Library,Poirier Branch,BCOQ002,43,(604) 937-4141,575 Poirier Street,Coquitlam,BC,V3J 6A9,49.253185,-122.846541,87644,473754,266209,14659,289201,124,12,1555,147,92,11941,45,11,3120,41,12,975,14168,3529,n.a.,37335,4,No,No,2200,3386,349
