X,Y,OBJECTID,FACILITYIDFK,NAME,TYPE,SUBTYPE,SUBTYPEFIELD,FEATURECODE,ADDRESS,DESCRIPT,URL,PHONE,EMAIL,OWNEDBY
608031.9402,4914295.725199999288,1,222,Tyndale Park Washroom,Point of Interest,Recreation,8,Public Washroom: Seasonal,45 TYNDALE RD,Public Washroom,,,,CITY OF BARRIE (COB)
603073.886800000444055,4919194.7686,2,1,Barrie Sports Dome,City Facility,Sport Centre,8,Sport Complex,99 Hanmer St E,Sport Centre,http://barriesportsdome.com/,(705) 728-8030,,CITY OF BARRIE (COB)
604673.230499999597669,4918387.32699999958,3,10,Barrie Police Service,City Facility,Police Facility,2,Emergency Response / Law Enforcement,29 Sperling Dr,City Service,http://www.barriepolice.ca/,(705) 725-7025,info@barriepolice.ca,CITY OF BARRIE (COB)
600694.729600000195205,4916294.936499999836,4,100,Northwest Barrie United Church,Place of Worship,Church,7,Religious Facility,464 Ferndale Dr N,,http://nwbuc.ca,(705) 734-3700,office@nwbuc.ca,PRIVATE
602770.436599999666214,4909702.1597,5,101,Holy Spirit Parish Catholic Church,Place of Worship,Church,7,Religious Facility,650 Essa Rd,,http://www.holyspiritbarrie.ca/,(705) 722-3771,holyspirit@bellnet.ca,PRIVATE
601995.488199999555945,4907827.466,6,102,Emmanuel Baptist Church,Place of Worship,Church,7,Religious Facility,374 Salem Rd,,http://www.emmanuelbarrie.org/,(705) 728-3017,,PRIVATE
610507.226499999873,4912660.67899999954,7,103,Barrie Victory Centre,Place of Worship,Church,7,Religious Facility,80 Prince William Way,,http://barrievictory.org/,(705) 733-3473,,PRIVATE
603615.428199999966,4916775.001,8,105,YMCA,Point of Interest,Recreation,13,Community Centre,22 Grove St W,"Pool, Gym And Fitness Faculties, Immigration Services, Child Care",http://ymcaofsimcoemuskoka.ca/,(705) 726-6421,,CITY OF BARRIE (COB)
603230.976499999873,4917169.633899999782,9,106,Bayfield Mall,Point of Interest,Commercial and Retail,6,Shopping Mall / Complex,320 Bayfield St,,http://bayfieldmall.ca/,(705) 726-7632,,CITY OF BARRIE (COB)
603043.148900000378489,4917760.299399999902,10,107,Kozlov Centre,Point of Interest,Commercial and Retail,6,Shopping Mall / Complex,400 Bayfield St,,http://kozlovcentre.com/,(705) 728-3100,,CITY OF BARRIE (COB)
602848.938500000163913,4918581.670499999076,11,108,Georgian Mall,Point of Interest,Commercial and Retail,6,Shopping Mall / Complex,509 Bayfield St,,http://www.riocangeorgianmall.com/,(705) 726-9556,dkanthak@riocan.com,CITY OF BARRIE (COB)
606589.089200000278652,4918773.472699999809,12,11,Royal Victoria Hospital,City Facility,Hospital,3,Hospital / Medical Centre,201 Georgian Dr,Hospital,https://www.rvh.on.ca,(705) 728-9802,,CITY OF BARRIE (COB)
604397.553000000305474,4915030.785,13,110,Centennial Beach,Point of Interest,Beach,8,Beach,65 Lakeshore Dr,"Supervised Beach, Playground, Paths, Picnic Shelter, Boat Launch, Parking.",http://www.barrie.ca/Living/ParksTrails/Pages/Beaches.aspx,,,CITY OF BARRIE (COB)
604389.311200000345707,4914974.816099999472,14,110,Centennial Concession And Change Rooms,Point of Interest,Recreation,8,Public Washroom: Seasonal,"61 & 65 Lakeshore Dr
",,,,,CITY OF BARRIE (COB)
604391.427899999544024,4914961.3223,15,110,Centennial Park Washroom,Point of Interest,Recreation,8,Public Washroom: Seasonal,"61 & 65 Lakeshore Dr
",,,,,CITY OF BARRIE (COB)
606905.801900000311434,4916410.138599999249,16,111,Johnson's Beach,Point of Interest,Beach,8,Beach,2 Johnson St,"Supervised Beach, Restrooms, Change Rooms, Concession, Parking",http://www.barrie.ca/Living/ParksTrails/Pages/Beaches.aspx,,,CITY OF BARRIE (COB)
606909.695299999788404,4916432.9874,17,111,Johnson's Beach Washroom,Point of Interest,Recreation,8,Public Washroom: Seasonal,2 Johnson St,,,,,CITY OF BARRIE (COB)
607945.796,4921261.251499999315,18,114,Chappell Farms,Point of Interest,Tourism,8,Public Attraction,617 Penetanguishene Rd,"Seasonal, Pumpkin Patch, Haunted Barn",http://www.chappellfarms.ca/,(705) 721-1547,info@chappellfarms.ca ,PRIVATE
603822.199,4915885.42799999937,19,116,Barrie Armoury,Point of Interest,Cultural Centre,9,Armoury,37 Parkside Dr,,,(705) 728-3761,,CITY OF BARRIE (COB)
604572.268000000156462,4914415.829199999571,20,118,Tiffin Boat Launch,Point of Interest,Recreation,5,Boat Ramp / Dock,105 Lakeshore Dr,"Gravel Boat Launch, Closed During The Week, Open Weekends For Public Use",http://www.barrie.ca/Living/RecreationFacilities/Pages/Marina.aspx,,,CITY OF BARRIE (COB)
604515.17090000025928,4914795.5565,21,118,Lakeshore Fountain,Point of Interest,Tourism,9,Historic Site / Point of Interest,81 Lakeshore Dr,,,,,CITY OF BARRIE (COB)
604674.948599999770522,4915801.9078,22,119,Heritage Park Splash Pad,Point of Interest,Recreation,8,Amusement / Water Park,"5B Lakeshore Dr
",Water Feature,https://www.barrie.ca/Living/ParksTrails/Parks/Pages/Splash-Pads.aspx,(705) 739-4223 ,,CITY OF BARRIE (COB)
604662.256599999964,4915783.0238,23,119,Heritage Park Washroom,Point of Interest,Recreation,8,Public Washroom: Seasonal,"5B Lakeshore Dr
",,,,,CITY OF BARRIE (COB)
603168.730499999597669,4918777.253499999642,24,12,East Bayfield Community Centre,City Facility,Recreation,13,Community Centre,80 Livingstone St E,Recreation Facilities,http://www.barrie.ca/Living/RecreationFacilities/Community-Centres/Pages/EastBayfieldCommunityCentre.aspx,(705) 739-4225,recreation.information@barrie.ca,CITY OF BARRIE (COB)
