POI Identifier;Address;Description;Name;geo_shape;geo_point_2d
470;750 INNOVATION DR;Artificial Turf Soccer Field;J. MACHEN TURF SPORTS FIELD;"{""type"": ""Point"", ""coordinates"": [-76.43509301561204, 44.273191432390874]}";44.2731914324, -76.4350930156
1863;HWY 15/ROSE ABBEY DR;Trail Access;GREENWOOD PARK TRAIL;"{""type"": ""Point"", ""coordinates"": [-76.45166322688438, 44.26826286146524]}";44.2682628615, -76.4516632269
740;;Airport;GANANOQUE AIRPORT;"{""type"": ""Point"", ""coordinates"": [-76.24478241991152, 44.401379361689735]}";44.4013793617, -76.2447824199
1333;2991 2 HWY;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.30969655460468, 44.29149815486348]}";44.2914981549, -76.3096965546
4558;3891 HWY 15;Quarry-Active;;"{""type"": ""Point"", ""coordinates"": [-76.340840026589, 44.35552931137284]}";44.3555293114, -76.3408400266
4559;;;EMERALD PARK SWINGSET;"{""type"": ""Point"", ""coordinates"": [-76.55959126717781, 44.262072158241644]}";44.2620721582, -76.5595912672
1340;;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.58603754508523, 44.243152833764654]}";44.2431528338, -76.5860375451
1334;;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.4931160829557, 44.222606073448446]}";44.2226060734, -76.493116083
2952;95 LAPPAN'S LN;Municipal Government Facility;UTILITIES KINGSTON GARAGE;"{""type"": ""Point"", ""coordinates"": [-76.50824403811733, 44.26134428509353]}";44.2613442851, -76.5082440381
3175;310 KING ST E;Municipal Government Facility;BRITISH WHIG BUILDING;"{""type"": ""Point"", ""coordinates"": [-76.4819818670508, 44.22999456795744]}";44.229994568, -76.4819818671
4372;DALTON AV;Business Park;ALCAN BUSINESS PARK;"{""type"": ""Point"", ""coordinates"": [-76.50835167936111, 44.25736684833244]}";44.2573668483, -76.5083516794
3747;752 KING ST W;Hospital;BEECHGROVE;"{""type"": ""Point"", ""coordinates"": [-76.52102521591333, 44.21857526877618]}";44.2185752688, -76.5210252159
3216;1040 LEN BIRCHALL WY;;AIRPORT - HANGAR 5;"{""type"": ""Point"", ""coordinates"": [-76.59339910129403, 44.22043955418692]}";44.2204395542, -76.5933991013
20;175 RIDEAU ST;Long Term Care;RIDEAUCREST HOME;"{""type"": ""Point"", ""coordinates"": [-76.48237950371889, 44.23815789081969]}";44.2381578908, -76.4823795037
1732;182 PRINCESS ST;Gallery;THE WINDMILL CAFE;"{""type"": ""Point"", ""coordinates"": [-76.48538586536267, 44.231866164817525]}";44.2318661648, -76.4853858654
1176;2991 2 HWY;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.30988912998768, 44.29259427483064]}";44.2925942748, -76.30988913
3295;244 SIR JOHN A. MACDONALD BLVD;Queen's University;QUEEN'S UNIVERSITY SOLAR EDUCATION CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.51448247218401, 44.22592214057207]}";44.2259221406, -76.5144824722
178;4 YACHT CLUB LN;Playground;ARROWHEAD BEACH RECREATION AREA (CFB) PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.45011682088538, 44.23511091732435]}";44.2351109173, -76.4501168209
1883;23 ONTARIO ST;Parking Lot;PUMP HOUSE LOT (STEAM MUSEUM);"{""type"": ""Point"", ""coordinates"": [-76.48501654622976, 44.22387216867013]}";44.2238721687, -76.4850165462
3533;100 STUART ST;Queen's University;RICHARDSON HOUSE;"{""type"": ""Point"", ""coordinates"": [-76.4947126789133, 44.22410956161522]}";44.2241095616, -76.4947126789
3534;100 STUART ST;Queen's University;KIDD HOUSE;"{""type"": ""Point"", ""coordinates"": [-76.49430388159708, 44.224189746195215]}";44.2241897462, -76.4943038816
1887;51 QUEEN ST;Parking Lot;DRURY LOT;"{""type"": ""Point"", ""coordinates"": [-76.48106991611573, 44.23256985228654]}";44.2325698523, -76.4810699161
2190;3766 HWY 15;Ball Diamond;PITTSBURGH/JOYCEVILLE INSTITUTE BASEBALL FIELD 2;"{""type"": ""Point"", ""coordinates"": [-76.35035707983316, 44.359604006236744]}";44.3596040062, -76.3503570798
12;1165 COLLINS BAY RD;Driving Range;KINGSTON EXPERT TEES (DRIVING RANGE);"{""type"": ""Point"", ""coordinates"": [-76.61177795175385, 44.26177068828822]}";44.2617706883, -76.6117779518
340;234 NORMAN ROGERS DR;Ball Diamond;ST. THOMAS MORE ELEMENTARY SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.52401664052974, 44.23354841561389]}";44.2335484156, -76.5240166405
2203;1990 FRONT RD;Ball Diamond;LEMOINE POINT BASEBALL FIELD;"{""type"": ""Point"", ""coordinates"": [-76.61084132404632, 44.233179506556986]}";44.2331795066, -76.610841324
263;158 PATRICK ST;Playground;ST. PATRICK ELEMENTARY SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.49116731949894, 44.2417553398965]}";44.2417553399, -76.4911673195
3294;747 HILLVIEW RD;Monument;COLLINS BAY WAR MEMORIAL;"{""type"": ""Point"", ""coordinates"": [-76.60348981032125, 44.244275747605506]}";44.2442757476, -76.6034898103
3151;640 KING ST W;Post Office;POST OFFICE (PETERS PHARMACY);"{""type"": ""Point"", ""coordinates"": [-76.51755231068206, 44.22068444433625]}";44.2206844443, -76.5175523107
1653;1805 2 HWY;Tennis Court;MADOMA COMMUNITY CENTRE;"{""type"": ""Point"", ""coordinates"": [-76.37520465102679, 44.264690403707846]}";44.2646904037, -76.375204651
3981;;Cell Antenna;290 BATH RD CELL ANTENNA;"{""type"": ""Point"", ""coordinates"": [-76.52569668100045, 44.239261020422745]}";44.2392610204, -76.525696681
3470;11 BENSON ST;;HOLIDAY INN EXPRESS;"{""type"": ""Point"", ""coordinates"": [-76.49721354777473, 44.266805248974165]}";44.266805249, -76.4972135478
3471;1 FIRST CANADA AV;;FIRST CANADA INN;"{""type"": ""Point"", ""coordinates"": [-76.4964882734849, 44.26293358468823]}";44.2629335847, -76.4964882735
816;1020 LANCASTER DR;Education Facility;LANCASTER DRIVE PUBLIC SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.59648154511467, 44.255926468153625]}";44.2559264682, -76.5964815451
904;130 LAKEVIEW AVE;Place of Worship;ST. THOMAS ANGLICAN CHURCH;"{""type"": ""Point"", ""coordinates"": [-76.57141450744548, 44.219302824911466]}";44.2193028249, -76.5714145074
790;1789 BATH RD;Education Facility;FRONTENAC SECONDARY SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.57644102777135, 44.237164006009486]}";44.237164006, -76.5764410278
3989;945 GARINERS RD;Cell Antenna;945-2 GARINERS RD CELL ANTENNA;"{""type"": ""Point"", ""coordinates"": [-76.57078634506014, 44.25612199986133]}";44.2561219999, -76.5707863451
4009;1 MOWAT AV;Cell Antenna;1 MOWAT AV CELL ANTENNA;"{""type"": ""Point"", ""coordinates"": [-76.51962860136894, 44.21745195838766]}";44.2174519584, -76.5196286014
3152;760 HWY 15;Plaza;BARRIEFIELD PLAZA;"{""type"": ""Point"", ""coordinates"": [-76.46123778750929, 44.25258898833763]}";44.2525889883, -76.4612377875
3297;564 TANNER DR;;ARBOUR HEIGHTS SENIOR LIVING;"{""type"": ""Point"", ""coordinates"": [-76.55876514575147, 44.239388315745344]}";44.2393883157, -76.5587651458
3571;;RMC;BIRCHALL PAVILLION;"{""type"": ""Point"", ""coordinates"": [-76.46767901818366, 44.23438980027609]}";44.2343898003, -76.4676790182
1603;22 GENERAL CRERAR CRES;Tennis Court;ROYAL MILITARY COLLEGE OF CANADA;"{""type"": ""Point"", ""coordinates"": [-76.467642378075, 44.235782919605434]}";44.2357829196, -76.4676423781
1613;21 CARLISLE ST;Tennis Court;FRIENDSHIP PARK TENNIS COURT;"{""type"": ""Point"", ""coordinates"": [-76.49115216173426, 44.237189625582495]}";44.2371896256, -76.4911521617
1205;52 KENWOODS CIR;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.46783491280395, 44.25595651781678]}";44.2559565178, -76.4678349128
1195;2991 2 HWY;Picnic Facility;;"{""type"": ""Point"", ""coordinates"": [-76.31089774419246, 44.29343187235901]}";44.2934318724, -76.3108977442
2122;100 NAPIER ST;Multi-Use Court;KINGSTON LAWN BOWLING CLUB;"{""type"": ""Point"", ""coordinates"": [-76.50706907541999, 44.23014151958559]}";44.2301415196, -76.5070690754
255;48 SEVENTH AVE;Playground;ST. PETER ELEMENTARY SCHOOL;"{""type"": ""Point"", ""coordinates"": [-76.50058101953319, 44.24707479803245]}";44.247074798, -76.5005810195
122;2 MAIN ST;Monument;BARRIEDIELD ROCK GARDEN MEMORIAL;"{""type"": ""Point"", ""coordinates"": [-76.46029450780479, 44.23951637258772]}";44.2395163726, -76.4602945078
127;33 BAGOT ST;Monument;CITY PARK WAR MEMORIAL;"{""type"": ""Point"", ""coordinates"": [-76.48979221797796, 44.22363811114691]}";44.2236381111, -76.489792218
1028;900 HENDERSON BLVD;Park;JIM BEATTIE PARK;"{""type"": ""Point"", ""coordinates"": [-76.58253354560198, 44.228133734277414]}";44.2281337343, -76.5825335456
1019;116 GRENADIER DR;Park;RICHDALE PARK;"{""type"": ""Point"", ""coordinates"": [-76.45418727218183, 44.25851334597665]}";44.258513346, -76.4541872722
1591;165 ROBERT WALLACE DR;Childcare Facility;KINGSTON FAMILY Y - POLSON PARK S.A.;"{""type"": ""Point"", ""coordinates"": [-76.53105945561789, 44.23514827174578]}";44.2351482717, -76.5310594556
1531;930 WOODBINE ROAD;Childcare Facility;LIMESTONE ADVISORY - KID'S CARE NETWORK;"{""type"": ""Point"", ""coordinates"": [-76.58673803671543, 44.25915815783638]}";44.2591581578, -76.5867380367
1592;5 CLERGY ST;Childcare Facility;KINGSTON FAMILY Y - SYDENHAM PUBLIC S.A.;"{""type"": ""Point"", ""coordinates"": [-76.49005354255895, 44.228666840057194]}";44.2286668401, -76.4900535426
