X,Y,OBJECTID,Name,Municipality,Address,Organization,Phone,Website,IN_RMW
-80.448776387708534,43.285496306514688,1,Ayr Branch Library,North Dumfries,137 Stanley Street,Region Of Waterloo Library,519-632-7298,http://www.rwl.library.on.ca/en/aboutus/ayrbl.asp,Yes
-80.664279301841844,43.404192500027662,2,Baden Branch Library,Wilmot,115 Snyder'S Road East,Region Of Waterloo Library,519-634-8933,http://www.rwl.library.on.ca/en/aboutus/badenbl.asp,Yes
-80.462603712609294,43.510421287438184,3,Bloomingdale Branch Library,Woolwich,860 Sawmill Road East,Region Of Waterloo Library,519-745-3151,http://www.rwl.library.on.ca/en/aboutus/bloombl.asp,Yes
-80.558709982421092,43.598101286933151,4,Elmira Branch Library,Woolwich,65 Arthur Street South,Region Of Waterloo Library,519-669-5477,http://www.rwl.library.on.ca/en/aboutus/elmirabl.asp,Yes
-80.729202641288637,43.583800492328031,5,Linwood Branch Library,Wellesley,5279 Ament Line,Region Of Waterloo Library,519-698-2700,http://www.rwl.library.on.ca/en/aboutus/linwoodbl.asp,Yes
-80.536371444751637,43.352004495115672,6,New Dundee Branch Library,Wilmot,136 Main Street,Region Of Waterloo Library,519-696-3041,http://www.rwl.library.on.ca/en/aboutus/newdundeebl.asp,Yes
-80.712332942053891,43.378066389445337,7,New Hamburg Branch Library,Wilmot,145 Huron Street,Region Of Waterloo Library,519-662-1112,http://www.rwl.library.on.ca/en/aboutus/newhamburgbl.asp,Yes
-80.652288769254568,43.523325078594894,8,St. Clements Branch Library,Wellesley,3605 Lobsinger Line,Region Of Waterloo Library,519-699-4341,http://www.rwl.library.on.ca/en/aboutus/stclementsbl.asp,Yes
-80.554647611325763,43.539090192564345,9,St. Jacobs Branch Library,Woolwich,29 Queensway Drive,Region Of Waterloo Library,519-664-3443,http://www.rwl.library.on.ca/en/aboutus/stjacobsbl.asp,Yes
-80.763900180183143,43.478826797617636,10,Wellesley Branch Library,Wellesley,1137 Henry Street,Region Of Waterloo Library,519-656-2001,http://www.rwl.library.on.ca/en/aboutus/wellesleybl.asp,Yes
-80.523298819688762,43.426261935851009,11,Forest Heights Community Library,Kitchener,251 Fischer-Hallman Road,Kitchener Public Library,519-743-0644,http://www.kpl.org/locations/fh.html,Yes
-80.486313202357707,43.452711133989368,12,Kitchener Main Library,Kitchener,85 Queen Street North,Kitchener Public Library,519-743-0271,http://www.kpl.org/locations/main.html,Yes
-80.524497369996084,43.465977831800906,13,Waterloo Main Library,Waterloo,35 Albert Street,Waterloo Public Library,519-886-1310,http://www.wpl.ca/location/main-library/,Yes
-80.544659457990193,43.489094202136428,14,Mccormick Branch Library ,Waterloo,500 Parkside Drive,Waterloo Public Library,519-885-1920,http://www.wpl.ca/location/mccormick-branch/,Yes
-80.437384159918281,43.394082307750537,15,Pioneer Park Community Library,Kitchener,150 Pioneer Drive,Kitchener Public Library,519-748-2740,http://www.kpl.org/locations/pp.html,Yes
-80.437051689717308,43.457503712186352,16,Grand River Stanley Park Community Library,Kitchener,175 Indian Road,Kitchener Public Library,519-896-1736,http://www.kpl.org/locations/gr.html,Yes
-80.309545107614881,43.431208743357153,17,Hespeler Library,Cambridge,5 Tannery Street East,Cambridge Libraries,519-658-4412,http://www.cambridgelibraries.ca/contact,Yes
-80.318014049240077,43.359464036519576,18,Queen'S Square Library,Cambridge,1 North Square,Cambridge Libraries,519-621-0460,http://www.cambridgelibraries.ca/contact,Yes
-80.36150842094267,43.397838013937708,19,Preston Library,Cambridge,435 King Street East,Cambridge Libraries,519-653-3632,http://www.cambridgelibraries.ca/contact,Yes
-80.300343753019561,43.392725877065487,20,Clemens Mill Library,Cambridge,50 Saginaw Parkway,Cambridge Libraries,519-740-6294,http://www.cambridgelibraries.ca/contact,Yes
-80.425956473197814,43.100962913640871,21,Burford Branch Library,Brant,24 Park Ave,County Of Brant Public Library,519-449-5371,http://olco.canlib.ca/client/brant,No
-80.374870053239746,43.273352172838067,22,Glen Morris Branch Library,Brant,474 East River Road,County Of Brant Public Library,519-740-2122,http://olco.canlib.ca/client/brant,No
-80.386018634684504,43.193569773735533,23,Paris Branch Library,Brant,12 William Street,County Of Brant Public Library,519-442-2433,http://olco.canlib.ca/client/brant,No
-80.373894185442765,43.025472714105923,24,Scotland-Oakland Branch Library,Brant,281 Oakland Road,County Of Brant Public Library,519-446-0181,http://olco.canlib.ca/client/brant,No
