id-lieu,id-civ,nom-commun,id-dict,categorie-id,type-commun,type-commun-id,no-civique,voie,type-voie,lien-voie,nom-voie,code-postal,secteur-amena,district-electoral,id-district-electoral,ex-ville,id-ex-ville,coord-x,coord-y,latitude,longitude
79,39351,Centre Alain-Grandbois,,Lieu public - Ville de Laval,Édifice municipal,8,4300,Boulevard Samson,Boulevard,,Samson,H7W 2G9,3,L'Abord-à-Plouffe,13,Chomedey,CH,285159.1,5043643.4,45.53243011,-73.75146672
120,41571,Comptoir multiservice,,Lieu public - Ville de Laval,Édifice municipal,8,1333,Boulevard Chomedey,Boulevard,,Chomedey,H7V 3Y1,3,Souvenir-Labelle,12,Chomedey,CH,285774.1536,5045667.467,45.55066031,-73.74367079
121,2895,Cour municipale,,Lieu public - Ville de Laval,Édifice municipal,8,55,Boulevard des Laurentides,Boulevard,des,Laurentides,H7G 2T1,2,Duvernay-Pont-Viau,4,Pont-Viau,PV,290688.8,5046804.5,45.5610086,-73.68076033
122,105305,Fourrière municipale,,Lieu public - Ville de Laval,Édifice municipal,8,1535,Rue Cunard,Rue,,Cunard,H7S 2H8,2,Renaud,7,Chomedey,CH,286302.4,5049131.7,45.58184659,-73.73703647
127,71462,Gendarmerie (Édifice Valérie-Gignac),,Lieu public - Ville de Laval,Édifice municipal,8,3225,Boulevard Saint-Martin Est,Boulevard,,Saint-Martin Est,H7E 4Y5,1,Val-des-Arbres,3,Duvernay,DU,290869.8,5051616.2,45.60430918,-73.678579
153,41567,Hôtel de ville,,Lieu public - Ville de Laval,Édifice municipal,8,1,Place du Souvenir,Place,du,Souvenir,H7V 1W7,3,Souvenir-Labelle,12,Chomedey,CH,285689.645,5045755.938,45.55145408,-73.74475656
161,51130,Maison des arts de Laval,,Lieu public - Ville de Laval,Édifice municipal,8,1395,Boulevard de la Concorde Ouest,Boulevard,de la,Concorde Ouest,H7N 5W1,2,Laval-des-Rapides,11,Laval-des-Rapides,LR,287895.1,5046552.1,45.5586752,-73.71653785
516,136561,Quartier général de la police,,Lieu public - Ville de Laval,Édifice municipal,8,2911,Boulevard Chomedey,Boulevard,,Chomedey,H7P 0B8,5,Fabreville,20,Chomedey,CH,283976,5048007,45.57166055,-73.76679976
1,480,Aréna Cartier,7781,Lieu public - Ville de Laval,Aréna,1,100,Montée Major,Montée,,Major,H7N 4S4,2,Marigot,5,Laval-des-Rapides,LR,290415.9,5046559.5,45.55879843,-73.68424888
2,848,Aréna Chomedey,7782,Lieu public - Ville de Laval,Aréna,1,1160,Boulevard Pie-X,Boulevard,,Pie-X,H7V 3B5,3,Souvenir-Labelle,12,Chomedey,CH,285473.1,5045312.6,45.54745883,-73.74751244
3,7936,Aréna Hartland-Monahan,7783,Lieu public - Ville de Laval,Aréna,1,6200,Boulevard Arthur-Sauvé,Boulevard,,Arthur-Sauvé,H7R 3X7,4,Laval-les-Îles,17,Laval-Ouest,LO,276233.2,5045318.1,45.54719065,-73.86584269
4,906,Aréna Lucerne,7784,Lieu public - Ville de Laval,Aréna,1,1750,Rue de Neuville,Rue,de,Neuville,H7M 2E2,6,Vimont,8,Vimont,VI,287784.9,5051122.9,45.5998017,-73.71810859
5,407,Aréna Mike-Bossy,7787,Lieu public - Ville de Laval,Aréna,1,163,Boulevard Sainte-Rose Est,Boulevard,,Sainte-Rose Est,H7H 1P2,6,Auteuil,10,Auteuil,AU,284636.2699,5054061.873,45.62616287,-73.75859053
6,917,Aréna Richard-Trottier,7779,Lieu public - Ville de Laval,Aréna,1,3155,Rue Esther,Rue,,Esther,H7P 2G8,5,Marc-Aurèle-Fortin,19,Fabreville,FA,281729.8133,5048636.66,45.57725552,-73.79560755
7,821,Aréna Saint-François,7786,Lieu public - Ville de Laval,Aréna,1,9449,Rue De Tilly,Rue,,De Tilly,H7A 3S3,1,Saint-François,1,Saint-François,FR,298602.255,5059550.959,45.67581971,-73.57955348
8,934,Aréna Samson,7785,Lieu public - Ville de Laval,Aréna,1,655,Rue Sylvie,Rue,,Sylvie,H7X 2X2,4,Sainte-Dorothée,16,Sainte-Dorothée,DO,281095.9,5042954.4,45.52610395,-73.80345474
9,696,Aréna Yvon-Chartrand,7780,Lieu public - Ville de Laval,Aréna,1,4100,Boulevard de la Concorde Est,Boulevard,de la,Concorde Est,H7E 2E3,1,Saint-Vincent-de-Paul,2,Saint-Vincent-de-Paul,VP,292786.4,5051285.2,45.60136652,-73.65400098
541,141846,Complexe sportif Guimond,,Lieu privé,Aréna,1,4355,Desserte nord Laval Ouest (A-440),Desserte nord,,Laval Ouest (A-440),H7P 4W6,5,Fabreville,20,Chomedey,CH,282657.4174,5047069.374,45.56318288,-73.78365094
542,107380,Colisée de Laval,,Lieu privé,Aréna,1,1110,Avenue Desnoyers,Avenue,,Desnoyers,H7C 1Y5,1,Saint-Vincent-de-Paul,2,Saint-Vincent-de-Paul,VP,293058.8,5052649.3,45.61364567,-73.65054196
543,125097,Place publique à Centropolis,,Lieu public - Autre,Autres,22,1799,Avenue Pierre-Péladeau,Avenue,,Pierre-Péladeau,H7T 2Y5,3,Renaud,7,Chomedey,CH,285895.8344,5046925.753,45.56198602,-73.74216102
544,11738,Place publique de Sainte-Dorothée,,Lieu public - Autre,Autres,22,670,Rue de la Place-Publique,Rue,de la,Place-Publique,H7X 1G1,4,Sainte-Dorothée,16,Sainte-Dorothée,DO,279743.1771,5043230.545,45.52854145,-73.82078586
545,116095,Cosmodôme,,Lieu privé,Autres,22,2150,Desserte ouest des Laurentides (A-15),Desserte ouest,des,Laurentides (A-15),H7T 2T8,3,Renaud,7,Chomedey,CH,285738.3,5047474.5,45.56691949,-73.7442004
