OBJECTID,NAME,ADDRESS,TYPE,X_COORD,Y_COORD,CONCESSION,LABEL,YEAR_BUILT,TOWNAREA,DEPTRESP,LEASED,LEASER
6,MILLIKEN MILLS COMMUNITY CENTRE AND LIBRARY,7600 KENNEDY RD,Community Centre,636224.284201761,4855525.15240925,E7,Milliken Mills Community Centre and Library,1982,Milliken,Recreation,N,
7,THORNHILL VILLAGE LIBRARY,10 COLBORNE ST,Library,626787.919670315,4852618.00432705,A7,Thornhill Village Library,1851,Thornhill,Library,N, 
8,THORNHILL COMMUNITY CENTRE AND LIBRARY,7755 BAYVIEW AVE,Community Centre,628666.396538694,4853126.69629317,B7,Thornhill Community Centre and Library,1974,Thornhill,Recreation,Y,ICE SKATING PRO SHOP/ REGION OWNED
9,MARKHAM VILLAGE LIBRARY,6031 HWY 7,Library,639909.564757898,4859292.15958934,H6,Markham Village Library,1982,Markham,Library,N, 
10,VICTORIA SQUARE COMMUNITY CENTRE,2929 ELGIN MILLS RD E,Community Centre,630572.050863354,4862392.98527127,C3,Victoria Square Community Centre,1962,Markham,AM,N, 
47,MCKAY ART CENTRE,197 MAIN ST UNIONVILLE,Art Gallery,635635.574331011,4858609.96223673,F5,McKay Art Centre,1850,Unionville,Culture,Y,OFFICE SPACE
51,GERMAN MILLS COMMUNITY CENTRE,80 GERMAN MILLS RD,Community Centre,630932.631764787,4853159.68590513,C7,German Mills Community Centre,1874,Thornhill,AM,N, 
52,THORNHILL RECYCLING DEPOT,5 GREEN LANE,Recycling Depot,628620.809624084,4853260.36235741,B7,Thornhill Recycling Depot,1985,Thornhill,Waste,N, 
53,UNIONVILLE RECYCLING DEPOT,137A MAIN ST UNIONVILLE,Recycling Depot,635785.744342705,4858267.21012591,F5,Unionville Recycling Depot,1870,Unionville,Waste,N, 
57,MILLIKEN MILLS RECYCLING DEPOT,7600 KENNEDY RD,Recycling Depot,636125.13695,4855597.82765,E7,Milliken Mills Recycling Depot,1990,Milliken,Waste,N,
11,ARMADALE COMMUNITY CENTRE,2401 DENISON ST,Community Centre,638264.903817802,4855613.97391185,F7,Armadale Community Centre,1996,Milliken,Recreation,N, 
13,BOX GROVE COMMUNITY CENTRE,7651 NINTH LINE,Community Centre,642325.445137315,4857547.60842723,J7,Box Grove Community Centre,1877,Markham,AM,N, 
14,CEDAR GROVE COMMUNITY CENTRE,7667 14TH AVE,Community Centre,644604.653350001,4858643.6193,K7,Cedar Grove Community Centre,1869,Milliken,AM,N, 
16,OLD UNIONVILLE LIBRARY COMMUNITY CENTRE,221 MAIN ST UNIONVILLE,Community Centre,635724.780078348,4858824.77155958,F5,Old Unionville Library Community Centre,1967,Unionville,Recreation,N, 
19,ROUGE RIVER COMMUNITY CENTRE,120 ROUGE BANK DR,Community Centre,641376.2131486,4857928.15084565,H6,Rouge River Community Centre,1985,Box Grove,Recreation,N, 
20,ANGUS GLEN COMMUNITY CENTRE AND LIBRARY,3990 MAJOR MACKENZIE DR E,Community Centre,633622.605398407,4861519.11271127,E3,Angus Glen Community Centre and Library,2004,Markham,Recreation,N, 
21,ANGUS GLEN TENNIS CENTRE,3990 MAJOR MACKENZIE DR E,Community Centre,633472.939151063,4861587.31244699,E3,Angus Glen Tennis Centre,2011,Markham,Recreation,N, 
143,RAILROAD SNOW PLOW,9350 MARKHAM RD,Museum,639233.963523992,4861328.97537266,G4,Railroad Snow Plow,1926,Markham,Culture,N, 
24,MARKHAM THEATRE FOR PERFORMING ARTS,171 TOWN CENTRE BLVD,Theatre,633701.621489913,4857403.49815938,D5,Markham Theatre for Performing Arts,1985,Unionville,Culture,N, 
26,CROSBY MEMORIAL COMMUNITY CENTRE,210 MAIN ST UNIONVILLE,Community Centre,635528.68706196,4858654.04517387,E5,Crosby Memorial Community Centre,1928,Unionville,Recreation,N, 
27,FRED VARLEY ART GALLERY,216 MAIN ST UNIONVILLE,Art Gallery,635578.779186941,4858746.42076777,E5,Fred Varley Art Gallery,1996,Unionville,Culture,N, 
31,MARKHAM VILLAGE COMMUNITY CENTRE,6031 HWY 7,Community Centre,639945.617481334,4859317.16773794,H6,Markham Village Community Centre,1960,Markham,Recreation,N, 
32,R.J. CLATWORTHY ARENA,2400 JOHN ST,Community Centre,631190.750576757,4853607.88913707,C7,R.J. Clatworthy Arena,1982,Thornhill,Recreation,Y,MONTESSORI SCHOOL
33,CENTENNIAL COMMUNITY CENTRE,8600 MCCOWAN RD,Community Centre,637564.878927799,4859208.037104,F5,Centennial Community Centre,1972,Markham,Recreation,Y,UNKOWN AND TEMPORARY PARKING
