X,Y,FID,ROWTYPE,LANDMARKTY,TYPEDESC,LANDMARKNA,LANDMARKWE,LANDMARKPH,ADDRKEY,STNO,STNAME,SUFFIX,POSTDIR,STSUB,OWNERSHIP,CITY,MAPID,MSLINK,CENT_X,CENT_Y,COMPTYPE,UNITID,COMPKEY,GRIDKEY,SERVSTAT,ROOMID,ROOMKEY,GISKEY,WEB_DESC,WEB_PIC,PARENTKEY,PARENTDESC,PARENTID,CENT_X_385,CENT_Y_385
-79.586445566277007,43.551656772374088,1,L,LIBRY,LIBRARIES,PORT CREDIT LIBRARY,,,2350,20,LAKESHORE,RD,E, ,CITY OF MISSISSAUGA,MISSISSAUGA,0,202507,614180.99,4823048.87,B,PCL1,202507,5895,OCC,,0,202507,,,1,,,-8859522.59448454,5396320.16746151
-79.746740460650315,43.553058692806516,2,L,LIBRY,LIBRARIES,CHURCHILL MEADOWS LIBRARY,,,153297,3801,THOMAS,ST, , ,CITY OF MISSISSAUGA,MISSISSAUGA,0,414680501,601230.58,4822996.91,R,CML1,414680,1363,OCC,151,63501,414680,,,1,,,-8877366.54050294,5396535.49983379
-79.756122853077429,43.585940435857239,3,L,LIBRY,LIBRARIES,MEADOWVALE COMMUNITY CENTRE LIBRARY,,,105386,6655,GLEN ERIN,DR, , ,CITY OF MISSISSAUGA,MISSISSAUGA,0,2100038438,600418.07,4826637.4,R,MDV1,2100038,1405,IU,L211,124438,2100038,,,1,,,-8878410.98365035,5401587.51181735
-79.643623301555266,43.587567463865206,4,L,LIBRY,LIBRARIES,CENTRAL LIBRARY(CUSTOMER SERVICE CENTRE),,,9298,301,BURNHAMTHORPE,RD,W, ,CITY OF MISSISSAUGA,MISSISSAUGA,302,20570,609497.28,4826960.21,R,MCL1,209446,5894,OCC,,1,209446,,,1,,,-8865887.59086043,5401837.56305226
-79.717367323103701,43.556835609973035,5,L,LIBRY,LIBRARIES,ERIN MEADOWS LIBRARY,,,133009,2800,ERIN CENTRE,BLVD, , ,CITY OF MISSISSAUGA,MISSISSAUGA,0,333888579,603596.71,4823452.56,R,EMC1,333888,1049,OCC,0101,63579,333888,,,1,,,-8874096.73778825,5397115.65221701
-79.710608141927807,43.623949259124466,6,L,LIBRY,LIBRARIES,COURTNEYPARK LIBRARY,,,149285,730,COURTNEYPARK,DR,W, ,CITY OF MISSISSAUGA,MISSISSAUGA,0,386492513,604026.97,4830914.73,R,CPL1,386492,1362,OCC,L101,63513,386492,,,1,,,-8873344.30918157,5407430.69777793
-79.638405010067657,43.723391221456851,7,L,LIBRY,LIBRARIES,MALTON LIBRARY,,,75430,3540,MORNING STAR,DR, , ,CITY OF MISSISSAUGA,MISSISSAUGA,0,279837429,609671.03,4842052.04,R,MAL1,279837,1052,OCC,0139,57429,279837,,,1,,,-8865306.69330922,5422735.64574731
-79.653455139900487,43.616572185155547,8,L,LIBRY,LIBRARIES,FRANK MCKECHNIE LIBRARY,,,9454,310,BRISTOL,RD,E, ,CITY OF MISSISSAUGA,MISSISSAUGA,0,333615004,608651.35,4830168.61,R,FMC1,333615,1051,OCC,0137,62004,333615,,,1,,,-8866982.06609858,5406296.31401338
-79.650474230979356,43.511497800265992,9,L,LIBRY,LIBRARIES,CLARKSON LIBRARY,,,53343,2475,TRUSCOTT,DR, , ,CITY OF MISSISSAUGA,MISSISSAUGA,0,256553173,609081.34,4818502.86,R,CLK1,256553,1045,OCC,140,57173,256553,,,1,,,-8866650.23283538,5390153.94940074
-79.617680777268646,43.580527603222329,10,L,LIBRY,LIBRARIES,COOKSVILLE LIBRARY,,,61469,3024,HURONTARIO,ST, , ,PRIVATE,MISSISSAUGA,0,264665634,611604.59,4826212.87,R,CL1,264665,1047,OCC,0201,62634,264665,,,1,,,-8862999.68226695,5400755.68449782
-79.624341717203279,43.59702617560562,11,L,LIBRY,LIBRARIES,MISSISSAUGA VALLEY LIBRARY,,,30886,1275,MISSISSAUGA VALLEY,BLVD, , ,CITY OF MISSISSAUGA,MISSISSAUGA,0,233610919,611036.46,4828036.3,R,MV1,233610,1302,OCC,2034,57919,233610,,,1,,,-8863741.17470868,5403291.3673932
-79.653125911027075,43.530553187851908,12,L,LIBRY,LIBRARIES,SHERIDAN LIBRARY,,,48774,2225,ERIN MILLS,PKY, , ,PRIVATE,MISSISSAUGA,0,252081376,608832.74,4820615.68,R,SML1,252081,1057,OCC,0101,63376,252081,,,1,,,-8866945.41650804,5393079.30111702
-79.684434237786249,43.54219912266894,13,L,LIBRY,LIBRARIES,SOUTH COMMON LIBRARY,,,48917,2233,SOUTH MILLWAY, , , ,CITY OF MISSISSAUGA,MISSISSAUGA,0,252220259,606282.42,4821868.59,R,SCC1,252220,1058,OCC,0158,58259,252220,,,1,,,-8870430.64350046,5394867.62090572
-79.649523221543859,43.562720945771119,14,L,LIBRY,LIBRARIES,WOODLANDS LIBRARY,,,161147,3255,ERINDALE STATION,RD, , ,CITY OF MISSISSAUGA,MISSISSAUGA,302,267550,609065.83,4824192.97,R,WL1,2062253,10910,OCC,,1,2062253,,,1,,,-8866544.36694928,5398019.74018236
-79.716933639377004,43.58373491293505,15,L,LIBRY,LIBRARIES,STREETSVILLE LIBRARY,,,5714,112,QUEEN,ST,S, ,CITY OF MISSISSAUGA,MISSISSAUGA,302,109556,603585.62,4826440.56,R,SL1,205857,9224,OCC,,1,205857,,,1,,,-8874048.46033663,5401248.56487124
-79.5632624242715,43.583397927653813,16,L,LIBRY,LIBRARIES,LAKEVIEW LIBRARY,http://www.mississauga.ca/portal/residents/branchlibraries,,26643,1110,ATWATER,AVE, , ,CITY OF MISSISSAUGA,MISSISSAUGA,0,416168,615992.71,4826606.18,B,LL1,416168,6234,OCC,,0,416168,,,1,,,-8856941.8589215,5401196.77773323
-79.627669737863741,43.531006053253634,17,L,LIBRY,LIBRARIES,LORNE PARK LIBRARY,http://www.mississauga.ca/portal/residents/branchlibraries,,126240,1474,TRUSCOTT,DR, , ,CITY OF MISSISSAUGA,MISSISSAUGA,0,416225,610888.89,4820699.6,B,LPL1,416225,9227,OCC,,0,416225,,,1,,,-8864111.64827395,5393148.83550946
-79.603043729945313,43.621006706881872,18,L,LIBRY,LIBRARIES,BURNHAMTHORPE LIBRARY,http://www.mississauga.ca/portal/residents/branchlibraries,,160962,3650,DIXIE,RD, , ,CITY OF MISSISSAUGA,MISSISSAUGA,0,235499,612710.75,4830728.31,B,BL1,235499,5891,OCC,,0,235499,,,1,,,-8861370.2936122,5406978.20040502
