Library System,Library Branch,Latitude,Longitude
New Brunswick Public Library,Campbellton Centennial Library,48.004267,-66.676087
New Brunswick Public Library,Mgr. W.J. Conway Public Library,47.363385,-68.317435
New Brunswick Public Library,Fredericton Public Library,45.962675,-66.639859
New Brunswick Public Library,Moncton Public Library,46.088928,-64.774907
New Brunswick Public Library,"Saint John Free Public Library, Central Branch",45.273075,-66.065246
New Brunswick Public Library,Raymond Lagace Public Library,47.987604,-66.725152
New Brunswick Public Library,Claude LeBouthillier Public Library,47.801302,-64.834146
New Brunswick Public Library,Bathurst Public Library,47.618855,-65.654689
New Brunswick Public Library,Mgr. Robichaud Public Library,47.700951,-65.703329
New Brunswick Public Library,Gerald Leblanc Public Library,46.47038,-64.723367
New Brunswick Public Library,Campobello Public Library,44.8901,-66.957235
New Brunswick Public Library,Cap-Pele Public Library,46.215726,-64.272177
New Brunswick Public Library,Mgr. Paquet Public Library,47.789362,-64.963105
New Brunswick Public Library,Chipman Public Library,46.174539,-65.881517
New Brunswick Public Library,Dalhousie Centennial Library,48.065478,-66.376243
New Brunswick Public Library,Dieppe Public Library,46.094883,-64.749152
New Brunswick Public Library,Doaktown Community-School Library,46.556448,-66.12546
New Brunswick Public Library,Dorchester Public Library,45.899115,-64.517097
New Brunswick Public Library,Andrew and Laura McCain Public Library,46.439464,-67.618864
New Brunswick Public Library,Dre. Marguerite Michard Library,45.942042,-66.652773
New Brunswick Public Library,Fredericton Public Library - Nashwaaksis,45.985257,-66.642983
New Brunswick Public Library,New Brunswick Library of Craft and Design,45.962001,-66.643425
New Brunswick Public Library,Grand Falls Public Library,47.044643,-67.742229
New Brunswick Public Library,Grand Manan Library,44.687558,-66.766027
New Brunswick Public Library,Dr. Walter Chestnut Public Library,46.298319,-67.528333
New Brunswick Public Library,Harvey Community Library,45.720136,-67.008455
New Brunswick Public Library,Hillsborough Public Library,45.922787,-64.64526
New Brunswick Public Library,Kedgwick Public Library,47.645857,-67.352142
New Brunswick Public Library,Lameque Public Library,47.794609,-64.647402
New Brunswick Public Library,McAdam Public Library,45.593763,-67.326877
New Brunswick Public Library,Memramcook Public Library,45.977053,-64.565501
New Brunswick Public Library,Minto Public Library,46.071578,-66.062291
New Brunswick Public Library,Chatham Public Library,47.031116,-65.466335
New Brunswick Public Library,Mediatheque Pere Louis Lamontagne,47.008664,-65.586974
New Brunswick Public Library,Newcastle Public Library,47.001778,-65.563695
New Brunswick Public Library,Nackawic Public-School Library,45.993041,-67.237802
New Brunswick Public Library,Upper Miramichi Community Library,46.496449,-66.292617
New Brunswick Public Library,Fay Tidd Public Library,45.843201,-66.480492
New Brunswick Public Library,Perth-Andover Public Library,46.735908,-67.703376
New Brunswick Public Library,Petitcodiac Public Library,45.932427,-65.175978
New Brunswick Public Library,Petit-Rocher Public Library,47.773947,-65.716644
New Brunswick Public Library,Plaster Rock Public-School Library,46.913274,-67.391816
New Brunswick Public Library,Kennebecasis Public Library,45.407594,-65.966684
New Brunswick Public Library,Richibucto Public Library,46.681373,-64.863227
New Brunswick Public Library,Riverview Public Library,46.0616,-64.804617
New Brunswick Public Library,Rogersville Public Library,46.731187,-65.423606
New Brunswick Public Library,Sackville Public Library,45.896297,-64.369753
New Brunswick Public Library,Le Cormoran Library,45.294056,-66.116092
New Brunswick Public Library,"Saint John Free Public Library, East Branch",45.272922,-66.064791
New Brunswick Public Library,"Saint John Free Public Library, West Branch",45.253807,-66.092265
New Brunswick Public Library,Omer-Leger Public Library,46.363753,-64.754838
New Brunswick Public Library,Mgr. Plourde Public Library,47.242456,-68.703825
New Brunswick Public Library,Dr. Lorne J. Violette Public Library,47.164186,-67.923731
New Brunswick Public Library,La Moisson Public Library,47.511636,-67.392011
New Brunswick Public Library,Salisbury Public Library,46.0254,-65.049046
New Brunswick Public Library,Shediac Public Library,46.219467,-64.549311
New Brunswick Public Library,Laval Goupil Public Library,47.745496,-64.724777
New Brunswick Public Library,Ross Memorial Library,45.076058,-67.051292
New Brunswick Public Library,St. Croix Public Lirbary,45.193084,-67.275596
New Brunswick Public Library,Stanley Community Library,46.281816,-66.738399
New Brunswick Public Library,Sussex Regional Library,45.721068,-65.505266
New Brunswick Public Library,Pere Zoel Saulnier Public Library,47.512271,-64.909073
New Brunswick Public Library,L.P. Fisher Public Library,46.151244,-67.573138
