X,Y,OBJECTID,Category,Subcategory,Defined_Category,Name,Organizer,Website,Address,City,Province,Country,PostalCode,CreationDate,Creator,EditDate,Editor,GlobalID
-78.867814000371794,43.910427000005683,1,CULTURAL ENTERPRISES,ADVERTISING,ADVERTISING AGENCIES,Citrusmedia,,http://citrusmedia.com/,477 MASSON ST,OSHAWA,ONTARIO,CANADA,L1G5A1,2017-05-18T17:22:22.439Z,City.of.Oshawa,2017-05-18T17:22:22.439Z,City.of.Oshawa,b6374681-1781-4f90-8ad3-ec89d9d06cbe
-78.839870351261737,43.933569641623272,2,CULTURAL ENTERPRISES,ADVERTISING,ADVERTISING AGENCIES,Sandy Cook Marketing And Design,,sandycookdesign.com,1028 Highbrooke Ct,Oshawa,Ontario,Canada,L1K 2K6,2017-05-18T17:22:22.439Z,City.of.Oshawa,2017-11-07T18:39:29.569Z,mmandel_oshawa,803ef12f-25fb-486a-aa8e-9b954bccb87b
-78.907761000383303,43.985190000100388,3,CULTURAL ENTERPRISES,Antiques,Antique Dealers,Colborne Antiques,,,RR 1 Stn A,Oshawa,Ontario,Canada,L1H7K4,2017-05-18T17:22:22.439Z,City.of.Oshawa,2017-10-31T18:32:35.170Z,mmandel_oshawa,ba894521-346a-4ba4-b642-83c451a6c978
-78.858064999614896,43.885653999858654,4,CULTURAL ENTERPRISES,ANTIQUES,ANTIQUE DEALERS,Elaine's Antiques & Used Furniture,,,451 SIMCOE ST S,OSHAWA,ONTARIO,CANADA,L1H4J7,2017-05-18T17:22:22.439Z,City.of.Oshawa,2017-05-18T17:22:22.439Z,City.of.Oshawa,dafe90f0-1682-412c-8e12-1ea4a959d0bc
-78.838910999854349,43.942801000039893,5,CULTURAL ENTERPRISES,ARCHITECTURE,ARCHITECTURAL SERVICES,Hanoudi Benan,,http://www.mycustombuilding.com/,1442 Bridgeport St,Oshawa,Ontario,Canada,L1K 2P5,2017-05-18T17:22:22.439Z,City.of.Oshawa,2017-11-07T19:25:56.087Z,mmandel_oshawa,d8d26c91-518b-491f-9299-7c776e4cd9f8
-78.863624000070175,43.892661999903403,6,CULTURAL ENTERPRISES,ARCHITECTURE,ARCHITECTURAL SERVICES,Lennis Trotter Architect,,http://www.lennistrotterarchitect.ca/,168 CENTRE ST S,OSHAWA,ONTARIO,CANADA,L1H 4A6,2017-05-18T17:22:22.439Z,City.of.Oshawa,2017-05-18T17:22:22.439Z,City.of.Oshawa,fec47fbc-610d-4c6e-8e08-1d022a723713
-78.89930499961207,43.898094999835088,7,CULTURAL ENTERPRISES,ARCHITECTURE,ARCHITECTURAL SERVICES,Marc J Riva Architect,,riva.ca,303 Elite Crt,Oshawa,Ontario,Canada,L1J 7V3,2017-05-18T17:22:22.439Z,City.of.Oshawa,2017-11-14T14:49:58.979Z,mmandel_oshawa,c528b463-fba4-4b76-ab5c-7def2a282e70
-78.866044000360134,43.903300000063332,8,CULTURAL ENTERPRISES,ARCHITECTURE,ARCHITECTURAL SERVICES,Mills & Assoc Ltd,,http://mills-architect.com/,215 SIMCOE ST N,OSHAWA,ONTARIO,CANADA,L1G4T1,2017-05-18T17:22:22.439Z,City.of.Oshawa,2017-05-18T17:22:22.439Z,City.of.Oshawa,527f275d-ef83-4ba6-9475-16aa304be197
-78.874157000101391,43.921950999714305,9,CULTURAL ENTERPRISES,ART DEALERS,COMMERCIAL GALLERIES,Kay's Place,,http://kaysplaceartandgifts.com/,922 Simcoe St N,Oshawa,Ontario,Canada,L1G 4W2,2017-05-18T17:22:22.439Z,City.of.Oshawa,2017-11-07T20:35:53.557Z,mmandel_oshawa,f5d5b977-5547-47cb-ac3b-64400601fe5d
-78.86174799975332,43.895817000012364,11,CULTURAL ENTERPRISES,ART DEALERS,COMMERCIAL GALLERIES,Wasted Space,,,74 CELINA ST,OSHAWA,ONTARIO,CANADA,L1H4N2,2017-05-18T17:22:22.439Z,City.of.Oshawa,2017-05-18T17:22:22.439Z,City.of.Oshawa,a559ce1e-de0c-43a8-9c3e-415e114fb287
-78.865821999703982,43.89506399989358,12,CULTURAL ENTERPRISES,ART GALLERIES,PUBLIC ART GALLERIES,Robert McLaughlin Gallery,,http://www.rmg.on.ca/,72 QUEEN ST,OSHAWA,ONTARIO,CANADA,L1H3Z3,2017-05-18T17:22:22.439Z,City.of.Oshawa,2017-05-18T17:22:22.439Z,City.of.Oshawa,99b02abd-7305-46c7-a584-76e93306718a
-78.819757999918679,43.90833300027704,13,CULTURAL ENTERPRISES,BOOK STORES,BOOK STORES AND NEWS DEALERS,ABC Christian Book Centre,,,95 CLARENCE BIESENTHAL DR,OSHAWA,ONTARIO,CANADA,L1K2H5,2017-05-18T17:22:22.439Z,City.of.Oshawa,2017-05-18T17:22:22.439Z,City.of.Oshawa,ddff0d4e-72c9-4294-93d1-4ff26151a595
-78.879851000275863,43.893810999776534,15,CULTURAL ENTERPRISES,BOOK STORES,BOOK STORES AND NEWS DEALERS,Chapters,,http://www.chapters.indigo.ca/home/,419 KING ST W,OSHAWA,ONTARIO,CANADA,L1J2K5,2017-05-18T17:22:22.439Z,City.of.Oshawa,2017-05-18T17:22:22.439Z,City.of.Oshawa,d1e97183-9f0e-4a3d-9e06-a3f4c172f542
