System_Name,Branch_Name,City ,Lat,Lon
Richmond Hill Public Library,Central Library,Richmond Hill,43.870489,-79.438872
Richmond Hill Public Library,Oak Ridges Moraine Library,Richmond Hill,43.948249,-79.454443
Richmond Hill Public Library,Richmond Green Library,Richmond Hill,43.902868,-79.397325
Richmond Hill Public Library,Richvale Library,Richmond Hill,43.844986,-79.438664
Thunder Bay Public Library,Brodie Resource Library,Thunder Bay,48.381636,-89.246301
Thunder Bay Public Library,County Park Branch,Thunder Bay,48.453054,-89.254156
Thunder Bay Public Library,Mary J. L. Black Branch,Thunder Bay,48.371557,-89.279403
Thunder Bay Public Library,Waverley Resource Library,Thunder Bay,48.436259,-89.223598
Regina Public Library,Albert,Regina,50.459442,-104.629742
Regina Public Library,Central and Children,Regina,50.448568,-104.614458
Regina Public Library,Connaught,Regina,50.445328,-104.630761
Regina Public Library,George Bothwell,Regina,50.402366,-104.622476
Regina Public Library,Glen Elm,Regina,50.454921,-104.560272
Regina Public Library,Prince of Wales,Regina,50.443445,-104.586716
Regina Public Library,Regent Place,Regina,50.473318,-104.616939
Regina Public Library,Sherwood Village,Regina,50.495119,-104.668955
Regina Public Library,Sunrise,Regina,50.429426,-104.535788
Wood Buffalo Regional Library,Wood Buffalo Regional Library,Fort McMurray,56.737996,-111.384224
Vaughan Public Libraries,Ansley Grove Library,Woodbridge,43.795864,-79.563549
Vaughan Public Libraries,Bathurst Clark Resource Library,Vaughan,43.803254,-79.452454
Vaughan Public Libraries,Civic Centre Resource Library,Vaughan,43.855436,-79.51054
Vaughan Public Libraries,Dufferin Clark Library,Thornhill,43.796702,-79.471627
Vaughan Public Libraries,Kleingburg Library,Kleinburg,43.840423,-79.624363
Vaughan Public Libraries,Maple Library,Maple,43.858977,-79.514455
Vaughan Public Libraries,Pierre Berton Resource Library,Woodbridge,43.817591,-79.595979
Vaughan Public Libraries,Pleasant Ridge Library,Thornhill,43.833183,-79.476361
Vaughan Public Libraries,Vellore Village Library,Vaughan,43.83631,-79.559799
Vaughan Public Libraries,Woodbridge Library,Woodbridge,43.784884,-79.593488
