Library ,Library Branch,Latitude,Longitude
Saskatoon Public Library,Frances Morrison Central Library,52.129665,-106.660295
Saskatoon Public Library,Alice Turner Branch,52.146826,-106.581732
Saskatoon Public Library,Carlyle King Branch,52.134737,-106.722044
Saskatoon Public Library,Cliff Wright Branch,52.104614,-106.585875
Saskatoon Public Library,Dr. Freda Ahenakew Branch,52.126885,-106.686365
Saskatoon Public Library,J.S. Wood Branch,52.108108,-106.650752
Saskatoon Public Library,Local History,52.12969,-106.660487
Saskatoon Public Library,Mayfair Branch,52.144056,-106.67797
Saskatoon Public Library,Round Prairie Branch,52.085203,-106.620862
Saskatoon Public Library,Rusty Macdonald Branch,52.16833,-106.634271
Saskatoon Public Library,The Gallery,52.126145,-106.662755
