Name,Municipality,Phone,Email,URL,FullAddress,LONGITUDE,LATITUDE
Fort Erie Public Library Stevensville Branch,Fort Erie,905-382-2051,information@forterie.library.on.ca,http://www.forterie.library.on.ca/,2508 Stevensville Road,-79.0535925689395,42.9431920413756
Fort Erie Public Library Crystal Ridge Branch,Fort Erie,905-894-1281,information@forterie.library.on.ca,http://www.forterie.library.on.ca/,89 Ridge Road South,-79.0527756591436,42.8735714116452
Fort Erie Public Library Centennial Branch,Fort Erie,905-871-2546,information@forterie.library.on.ca,http://www.forterie.library.on.ca/,136 Gilmore Road,-78.9184030901143,42.9207466357275
Grimsby Public Library,Grimsby,905-945-5142,Not Available,http://library.grimsby.ca/,18 Carnegie Lane,-79.5594499601489,43.1954034823967
Lincoln Public Library Fleming Branch,Lincoln,905-563-7014,info@lincoln.library.on.ca,http://www.lincoln.library.on.ca/,5020 Serena Drive,-79.4790580375052,43.1680070040235
Lincoln Public Library Moses F. Rittenhouse Branch,Lincoln,905-562-5711,info@lincoln.library.on.ca,http://www.lincoln.library.on.ca/,4080 John Charles Boulevard,-79.3938541781743,43.1598175822729
Niagara Falls Public Library Stamford Centre Branch,Niagara Falls,905-357-0410,Not Available,http://www.nflibrary.ca/,3643 Portage Road,-79.1002015830961,43.1191564902114
Niagara Falls Public Library Victoria Avenue Branch,Niagara Falls,905-356-8080,Not Available,http://www.nflibrary.ca/,4848 Victoria Avenue,-79.0726896560774,43.1040204401688
Niagara Falls Public Library Chippawa Branch,Niagara Falls,905-295-4391,Not Available,http://www.nflibrary.ca/,3763 Main Street,-79.051407043344,43.0587486106153
Niagara-On-The-Lake Public Library,Niagara-on-the-Lake,905-468-2023,kmcgrath@niagara.com,http://www.notlpubliclibrary.org/,10 Anderson Lane,-79.0864073980036,43.2476200373659
Niagara College Learning Resource Centre Glendale Campus,Niagara-on-the-Lake,905-641-2252,rlaird@niagarac.on.ca,http://web.niagarac.on.ca/studying/library/,135 Taylor Road,-79.1661930631235,43.1532249108835
Port Colborne Public Library,Port Colborne,905-834-6512,port_lib@becon.org,http://www.portcolbornelibrary.org/,310 King Street,-79.2520613994741,42.8880642525214
Pelham Public Library Maple Acre Branch,Pelham,905-892-5226,pelhampl@post.library.on.ca,http://www.pelhamlibrary.on.ca/,781 Canboro Road,-79.360237956367,43.025230742871
Pelham Public Library Fonthill Branch,Pelham,905-892-6443,pelhampl@post.library.on.ca,http://www.pelhamlibrary.on.ca/,43 Pelham Town Square,-79.283067848221,43.0437377155542
St. Catharines Public Library - Central Library,St. Catharines,905-688-6103,admin@stcatharines.library.on.ca,http://www.stcatharines.library.on.ca/,54 Church Street,-79.2459961817506,43.160331322308
St. Catharines Public Library - Port Dalhousie Branch,St. Catharines,905-646-0220,admin@stcatharines.library.on.ca,http://www.stcatharines.library.on.ca/,23 Brock Street,-79.2704242570413,43.2008818702842
James A Gibson Library Brock University,St. Catharines,905-688-5550,libweb@brocku.ca,http://www.brocku.ca/library/,1812 Sir Isaac Brock Way,-79.2489494250753,43.1198321374218
St. Catharines Public Library - Merritt Branch,St. Catharines,905-682-3568,admin@stcatharines.library.on.ca,http://www.stcatharines.library.on.ca/,149 Hartzel Road,-79.2155990020462,43.1481949174469
Thorold Public Library Main Branch,Thorold,905-227-2581,library@thorold.library.on.ca,http://www.thoroldpubliclibrary.ca/,14 Ormond Street North,-79.1986556487461,43.1263070926442
Niagara College Learning Resource Centre Welland Campus,Welland,905-735-2211,sbartlett@niagarac.on.ca,http://web.niagarac.on.ca/studying/library/,300 Woodlawn Road,-79.2674510773692,43.0161009663148
Welland Public Library Main Branch,Welland,905-734-6210,info@welland.library.on.ca,http://www.welland.library.on.ca/,50 The Boardwalk,-79.2493582808824,42.9924697551439
Wainfleet Public Library,Wainfleet,905-899-1277,robanion@post.library.on.ca,http://www.wainfleetlibrary.ca/,31909 Park Street,-79.3761844528819,42.9222021960985
West Lincoln Public Library Smithvillle Branch,West Lincoln,905-957-3756,catharine.vaughan@sympatico.ca,http://www.westlincolnlibrary.ca/,318 Canborough Street,-79.5492029485965,43.0942890753225
West Lincoln Public Library Caistorville Branch,West Lincoln,905-692-4290,cstvllib@niagara.com,http://www.westlincolnlibrary.ca/,9549 York Road,-79.716555836832,43.0507921054195
West Lincoln Public Library Wellandport Branch,West Lincoln,905-386-6792,wlptlib@niagara.com,http://www.westlincolnlibrary.ca/,5042 Canborough Road,-79.4731958907473,43.0037409560067
Niagara Falls Public Library Community Centre Branch,Niagara Falls,905-371-1200,Not Available,http://www.nflibrary.ca/,7150 Montrose Rd,-79.1243112077223,43.0727544541618
St. Catharines Public Library - Dr. Huq Family Library Branch,St. Catharines,905-934-7511,admin@stcatharines.library.on.ca,http://www.stcatharines.library.on.ca/,425 Carlton Street,-79.225381255308,43.1808900399529
Welland Public Library Diamond Trail Branch,Welland,905-322-1061,info@welland.library.on.ca,http://www.welland.library.on.ca/,315 Southworth Street,-79.2353281729305,42.9731698607618
