name,description,address,phoneNumber,_id,longitude,latitude
Agincourt,"Address: 155 Bonis Ave., Toronto, ON, M1T 3W6<br/>Link: https://www.torontopubliclibrary.ca/detail.jsp?R=LIB02","155 Bonis Ave., Toronto, ON, M1T 3W6",416-396-8943,LIB02,-79.29342962962961,43.78516666666665
Albert Campbell,"Address: 496 Birchmount Road, Toronto, ON, M1K 1N8<br/>Link: https://www.torontopubliclibrary.ca/detail.jsp?R=LIB03","496 Birchmount Road, Toronto, ON, M1K 1N8",416-396-8890,LIB03,-79.26925185185183,43.708018518518514
Albion,"Address: 1515 Albion Road, Toronto, ON, M9V 1B2<br/>Link: https://www.torontopubliclibrary.ca/detail.jsp?R=LIB04","1515 Albion Road, Toronto, ON, M9V 1B2",416-394-5170,LIB04,-79.58409629629628,43.7398259259259
Alderwood,"Address: 2 Orianna Drive, Toronto, ON, M8W 4Y1<br/>Link: https://www.torontopubliclibrary.ca/detail.jsp?R=LIB020","2 Orianna Drive, Toronto, ON, M8W 4Y1",416-394-5310,LIB020,-79.54725185185184,43.60194444444441
Amesbury Park,"Address: 1565 Lawrence Ave. W., Toronto, ON, M6L 1A8<br/>Link: https://www.torontopubliclibrary.ca/detail.jsp?R=LIB021","1565 Lawrence Ave. W., Toronto, ON, M6L 1A8",416-395-5420,LIB021,-79.4857259259259,43.706455555555536
Annette Street,"Address: 145 Annette Street, Toronto, ON, M6P 1P3<br/>Link: https://www.torontopubliclibrary.ca/detail.jsp?R=LIB022","145 Annette Street, Toronto, ON, M6P 1P3",416-393-7692,LIB022,-79.46634814814814,43.66335925925924
Armour Heights,"Address: 2140 Avenue Road, Toronto, ON, M5M 4M7<br/>Link: https://www.torontopubliclibrary.ca/detail.jsp?R=LIB023","2140 Avenue Road, Toronto, ON, M5M 4M7",416-395-5430,LIB023,-79.42188888888888,43.73933703703702
Barbara Frum,"Address: 20 Covington Road, Toronto, ON, M6A 3C1<br/>Link: https://www.torontopubliclibrary.ca/detail.jsp?R=LIB05","20 Covington Road, Toronto, ON, M6A 3C1",416-395-5440,LIB05,-79.43221481481477,43.72075185185185
Bayview,"Address: 2901 Bayview Ave., Bayview Village Shopping Centre, Toronto, ON, M2K 1E6<br/>Link: https://www.torontopubliclibrary.ca/detail.jsp?R=LIB024","2901 Bayview Ave., Bayview Village Shopping Centre, Toronto, ON, M2K 1E6",416-395-5460,LIB024,-79.38499999999999,43.76885555555552
Beaches,"Address: 2161 Queen Street East, Toronto, ON, M4L 1J1<br/>Link: https://www.torontopubliclibrary.ca/detail.jsp?R=LIB025","2161 Queen Street East, Toronto, ON, M4L 1J1",416-393-7703,LIB025,-79.29852592592593,43.670129629629606
