Library System,Municipality,,Filetype,URL
Barrie Public Library,Barrie,,CSV,http://public-barrie.opendata.arcgis.com/search?collection=Dataset&page=2
Bibliothèque de Montréal,Montreal,,CSV,http://donnees.ville.montreal.qc.ca/dataset/lieux-culturels
Bibliothèque et Archives nationales du Québec,Montreal,,CSV,http://donnees.ville.montreal.qc.ca/dataset/lieux-culturels
Bibliothèque municipale de Gatineau,Gatineau,,CSV,http://gatineau.ca/donneesouvertes/fiche_metadonnees_en.aspx?id=-1964483076
Bibliothèque Ville de Laval,Laval,,CSV,https://www.donneesquebec.ca/recherche/fr/dataset/lieux-et-edifices-municipaux
Brampton Library,Brampton,,CSV,http://geohub.brampton.ca/datasets/libraries/data
Burlington Public Library,Burlington,,CSV,https://navburl-burlington.opendata.arcgis.com/datasets/libraries/data
Burnaby Public Library,Burnaby,,CSV,http://data.burnaby.ca/datasets/4e99b5545f59441ea9a0cfcfaf656e1a_1
Calgary Public Library,Calgary,,CSV,https://data.calgary.ca/Recreation-and-Culture/Calgary-Public-Library-Locations-and-Hours/m9y7-ui7j
Coquitlam Public Library,Coquitlam,,CSV,https://catalogue.data.gov.bc.ca/dataset/bc-public-libraries-systems-branches-and-locations-2017
Edmonton Public Library,Edmonton,,CSV,https://data.edmonton.ca/Community-Centres/Public-Libraries/jn25-zspi
Fraser Valley Regional Library,Fraser Valley,,CSV,https://catalogue.data.gov.bc.ca/dataset/bc-public-libraries-systems-branches-and-locations-2017
Greater Victoria Public Library,Victoria,,CSV,https://catalogue.data.gov.bc.ca/dataset/bc-public-libraries-systems-branches-and-locations-2017
Guelph Public Library,Guelph,,lat long ,https://docs.google.com/spreadsheets/d/1uiKtqy9Q0gOm9P9cZM5b4EmbjM1DNaAeTOk4oivZ5iE/edit#gid=0
Hamilton Public Library,Hamilton,,CSV,http://open.hamilton.ca/datasets/67a54ea25d944cf7b66750ba57da822c_1
Idea Exchange,Cambridge,,CSV,https://rowopendata-rmw.opendata.arcgis.com/datasets/d137da7d38c14b3aa0fd42ab3a4cebad_0
Kingston Frontenac Public Library,Kingston,,CSV,https://opendatakingston.cityofkingston.ca/explore/dataset/point-of-interest/export/?disjunctive.description&disjunctive.name
Kitchener Public Library,Kitchener,,CSV,https://rowopendata-rmw.opendata.arcgis.com/datasets/d137da7d38c14b3aa0fd42ab3a4cebad_0
London Public Library,London,,lat long ,https://docs.google.com/spreadsheets/d/1-RGMNSJb9oUTTzsbOXfgW3Zpn8Atu0s0M0p9sWoTnnI/edit?usp=sharing
