BranchId,Name,ShortName,ImageUrl,BranchHours/Hours/0/DayOfWeek,BranchHours/Hours/0/Open/0,BranchHours/Hours/0/Close/0,BranchHours/Hours/1/DayOfWeek,BranchHours/Hours/1/Open/0,BranchHours/Hours/1/Close/0,BranchHours/Hours/2/DayOfWeek,BranchHours/Hours/2/Open/0,BranchHours/Hours/2/Close/0,BranchHours/Hours/3/DayOfWeek,BranchHours/Hours/3/Open/0,BranchHours/Hours/3/Close/0,BranchHours/Hours/4/DayOfWeek,BranchHours/Hours/4/Open/0,BranchHours/Hours/4/Close/0,BranchHours/Hours/5/DayOfWeek,BranchHours/Hours/5/Open/0,BranchHours/Hours/5/Close/0,BranchHours/Hours/6/DayOfWeek,BranchHours/Hours/6/Open/0,BranchHours/Hours/6/Close/0,HolidayClosures/HolidayClosure/0/HolidayName,HolidayClosures/HolidayClosure/0/HolidayDate,HolidayClosures/HolidayClosure/1/HolidayName,HolidayClosures/HolidayClosure/1/HolidayDate,HolidayClosures/HolidayClosure/2/HolidayName,HolidayClosures/HolidayClosure/2/HolidayDate,HolidayClosures/HolidayClosure/3/HolidayName,HolidayClosures/HolidayClosure/3/HolidayDate,HolidayClosures/HolidayClosure/4/HolidayName,HolidayClosures/HolidayClosure/4/HolidayDate,HolidayClosures/HolidayClosure/5/HolidayName,HolidayClosures/HolidayClosure/5/HolidayDate,HolidayClosures/HolidayClosure/6/HolidayName,HolidayClosures/HolidayClosure/6/HolidayDate,HolidayClosures/HolidayClosure/7/HolidayName,HolidayClosures/HolidayClosure/7/HolidayDate,HolidayClosures/HolidayClosure/8/HolidayName,HolidayClosures/HolidayClosure/8/HolidayDate,HolidayClosures/HolidayClosure/9/HolidayName,HolidayClosures/HolidayClosure/9/HolidayDate,HolidayClosures/HolidayClosure/10/HolidayName,HolidayClosures/HolidayClosure/10/HolidayDate,HolidayClosures/HolidayClosure/11/HolidayName,HolidayClosures/HolidayClosure/11/HolidayDate,HolidayClosures/HolidayClosure/12/HolidayName,HolidayClosures/HolidayClosure/12/HolidayDate,HolidayClosures/HolidayClosure/13/HolidayName,HolidayClosures/HolidayClosure/13/HolidayDate,HolidayClosures/HolidayClosure/14/HolidayName,HolidayClosures/HolidayClosure/14/HolidayDate,Address,ZipCode,Coordinates/Latitude,Coordinates/Longitude,PhoneNumber,Email,BranchHours/Hours/1/Open/1,BranchHours/Hours/1/Close/1,BranchHours/Hours/3/Open/1,BranchHours/Hours/3/Close/1,BranchHours/Hours/0/Open/1,BranchHours/Hours/0/Close/1,BranchHours/Hours/2/Open/1,BranchHours/Hours/2/Close/1,BranchHours/Hours/1/Open/2,BranchHours/Hours/1/Close/2
AV,Alta Vista,Alta Vista,https://biblioottawalibrary.ca/sites/default/files/imagecache/branch_image_preview/images/branches/br_al_ext_1.jpg,Monday,10:00,20:30,Tuesday,10:00,20:30,Wednesday,10:00,20:30,Thursday,10:00,20:30,Friday,13:00,18:00,Saturday,10:00,17:00,Sunday,CLOSED,CLOSED,New Year's Day,2017-01-01,Family Day,2017-02-20,Good Friday,2017-04-14,Easter Sunday,2017-04-16,Easter Monday,2017-04-17,Victoria Day,2017-05-22,Canada Day,2017-07-01,Colonel By Day,2017-08-07,Labour Day,2017-09-04,Thanksgiving,2017-10-09,Remembrance Day,2017-11-11,Christmas Eve,2017-12-24,Christmas Day,2017-12-25,Boxing Day,2017-12-26,New Year's Eve,2017-12-31,2516 Alta Vista,K1V 7T1,45.378317,-75.661211,613-580-2940,,,,,,,,,,,
BE,Beaverbrook,Beaverbrook,https://biblioottawalibrary.ca/sites/default/files/images/branches/Beaverbrook2014_308x180_0.png,Monday,10:00,21:00,Tuesday,10:00,21:00,Wednesday,10:00,21:00,Thursday,10:00,21:00,Friday,10:00,18:00,Saturday,10:00,17:00,Sunday,13:00,17:00,New Year's Day,2017-01-01,Family Day,2017-02-20,Good Friday,2017-04-14,Easter Sunday,2017-04-16,Easter Monday,2017-04-17,Victoria Day,2017-05-22,Canada Day,2017-07-01,Colonel By Day,2017-08-07,Labour Day,2017-09-04,Thanksgiving,2017-10-09,Remembrance Day,2017-11-11,Christmas Eve,2017-12-24,Christmas Day,2017-12-25,Boxing Day,2017-12-26,New Year's Eve,2017-12-31,2500 Campeau,K2K 2W3,45.322052,-75.895177,613-580-2940,,,,,,,,,,,
BH,Blackburn Hamlet,Blackburn Hamlet,https://biblioottawalibrary.ca/sites/default/files/imagecache/branch_image_preview/images/branches/br_bh_ext_1.jpg,Monday,10:00,20:30,Tuesday,10:00,20:30,Wednesday,10:00,20:30,Thursday,10:00,20:30,Friday,13:00,18:00,Saturday,10:00,17:00,Sunday,CLOSED,CLOSED,New Year's Day,2017-01-01,Family Day,2017-02-20,Good Friday,2017-04-14,Easter Sunday,2017-04-16,Easter Monday,2017-04-17,Victoria Day,2017-05-22,Canada Day,2017-07-01,Colonel By Day,2017-08-07,Labour Day,2017-09-04,Thanksgiving,2017-10-09,Remembrance Day,2017-11-11,Christmas Eve,2017-12-24,Christmas Day,2017-12-25,Boxing Day,2017-12-26,New Year's Eve,2017-12-31,199 Glen Park,K1B 5B8,45.429705,-75.565681,613-580-2940,,,,,,,,,,,
CA,Carlingwood,Carlingwood,https://biblioottawalibrary.ca/sites/default/files/imagecache/branch_image_preview/images/branches/br_ca_ext_1_0.jpg,Monday,10:00,20:30,Tuesday,10:00,20:30,Wednesday,10:00,20:30,Thursday,10:00,20:30,Friday,13:00,18:00,Saturday,10:00,17:00,Sunday,CLOSED,CLOSED,New Year's Day,2017-01-01,Family Day,2017-02-20,Good Friday,2017-04-14,Easter Sunday,2017-04-16,Easter Monday,2017-04-17,Victoria Day,2017-05-22,Canada Day,2017-07-01,Colonel By Day,2017-08-07,Labour Day,2017-09-04,Thanksgiving,2017-10-09,Remembrance Day,2017-11-11,Christmas Eve,2017-12-24,Christmas Day,2017-12-25,Boxing Day,2017-12-26,New Year's Eve,2017-12-31,281 Woodroffe,K2A 3W4,45.373674,-75.772212,613-580-2940,,,,,,,,,,,
CP,Carp,Carp,https://biblioottawalibrary.ca/sites/default/files/imagecache/branch_image_preview/images/branches/br_cp_ext_1_0.jpg,Monday,10:00,18:00,Tuesday,10:00,20:30,Wednesday,10:00,20:30,Thursday,10:00,20:30,Friday,13:00,18:00,Saturday,10:00,17:00,Sunday,CLOSED,CLOSED,New Year's Day,2017-01-01,Family Day,2017-02-20,Good Friday,2017-04-14,Easter Sunday,2017-04-16,Easter Monday,2017-04-17,Victoria Day,2017-05-22,Canada Day,2017-07-01,Colonel By Day,2017-08-07,Labour Day,2017-09-04,Thanksgiving,2017-10-09,Remembrance Day,2017-11-11,Christmas Eve,2017-12-24,Christmas Day,2017-12-25,Boxing Day,2017-12-26,New Year's Eve,2017-12-31,3911 Carp,K0A 1L0,45.352492,-76.044638,613-580-2940,,,,,,,,,,,
CE,Centennial,Centennial,https://biblioottawalibrary.ca/sites/default/files/imagecache/branch_image_preview/images/branches/br_ce_ext_1.jpg,Monday,10:00,20:30,Tuesday,10:00,20:30,Wednesday,10:00,20:30,Thursday,10:00,20:30,Friday,13:00,18:00,Saturday,10:00,17:00,Sunday,CLOSED,CLOSED,New Year's Day,2017-01-01,Family Day,2017-02-20,Good Friday,2017-04-14,Easter Sunday,2017-04-16,Easter Monday,2017-04-17,Victoria Day,2017-05-22,Canada Day,2017-07-01,Colonel By Day,2017-08-07,Labour Day,2017-09-04,Thanksgiving,2017-10-09,Remembrance Day,2017-11-11,Christmas Eve,2017-12-24,Christmas Day,2017-12-25,Boxing Day,2017-12-26,New Year's Eve,2017-12-31,3870 Old Richmond Rd.,K2H 5C4,45.321481,-75.826285,613-580-2940,,,,,,,,,,,
CB,Constance Bay,Constance Bay,https://biblioottawalibrary.ca/sites/default/files/imagecache/branch_image_preview/images/branches/br_cb_ext_1.jpg,Monday,16:30,20:30,Tuesday,10:00,13:00,Wednesday,CLOSED,CLOSED,Thursday,16:30,20:30,Friday,CLOSED,CLOSED,Saturday,10:00,14:00,Sunday,CLOSED,CLOSED,New Year's Day,2017-01-01,Family Day,2017-02-20,Good Friday,2017-04-14,Easter Sunday,2017-04-16,Easter Monday,2017-04-17,Victoria Day,2017-05-22,Canada Day,2017-07-01,Colonel By Day,2017-08-07,Labour Day,2017-09-04,Thanksgiving,2017-10-09,Remembrance Day,2017-11-11,Christmas Eve,2017-12-24,Christmas Day,2017-12-25,Boxing Day,2017-12-26,New Year's Eve,2017-12-31,262 Len Purcell,K0A 3M0,45.498045,-76.095793,613-580-2940,,16:30,20:30,,,,,,,,
CU,Cumberland,Cumberland,https://biblioottawalibrary.ca/sites/default/files/imagecache/branch_image_preview/images/branches/br_cu_ext_2_0.jpg,Monday,10:00,21:00,Tuesday,10:00,21:00,Wednesday,10:00,21:00,Thursday,10:00,21:00,Friday,10:00,18:00,Saturday,10:00,17:00,Sunday,13:00,17:00,New Year's Day,2017-01-01,Family Day,2017-02-20,Good Friday,2017-04-14,Easter Sunday,2017-04-16,Easter Monday,2017-04-17,Victoria Day,2017-05-22,Canada Day,2017-07-01,Colonel By Day,2017-08-07,Labour Day,2017-09-04,Thanksgiving,2017-10-09,Remembrance Day,2017-11-11,Christmas Eve,2017-12-24,Christmas Day,2017-12-25,Boxing Day,2017-12-26,New Year's Eve,2017-12-31,1599 Tenth Line,K1E 3E8,45.4722,-75.49367,613-580-2940,,,,,,,,,,,
EA,Elmvale Acres,Elmvale Acres,https://biblioottawalibrary.ca/sites/default/files/imagecache/branch_image_preview/images/branches/br_ea_ext_1.jpg,Monday,10:00,20:30,Tuesday,10:00,20:30,Wednesday,10:00,20:30,Thursday,10:00,20:30,Friday,13:00,18:00,Saturday,10:00,17:00,Sunday,CLOSED,CLOSED,New Year's Day,2017-01-01,Family Day,2017-02-20,Good Friday,2017-04-14,Easter Sunday,2017-04-16,Easter Monday,2017-04-17,Victoria Day,2017-05-22,Canada Day,2017-07-01,Colonel By Day,2017-08-07,Labour Day,2017-09-04,Thanksgiving,2017-10-09,Remembrance Day,2017-11-11,Christmas Eve,2017-12-24,Christmas Day,2017-12-25,Boxing Day,2017-12-26,New Year's Eve,2017-12-31,1910 St-Laurent,K1G 1A4,45.399595,-75.623124,613-580-2940,,,,,,,,,,,
EP,Emerald Plaza,Emerald Plaza,https://biblioottawalibrary.ca/sites/default/files/imagecache/branch_image_preview/images/branches/br_ep_ext_1.jpg,Monday,10:00,20:30,Tuesday,10:00,20:30,Wednesday,10:00,20:30,Thursday,10:00,20:30,Friday,13:00,18:00,Saturday,10:00,17:00,Sunday,CLOSED,CLOSED,New Year's Day,2017-01-01,Family Day,2017-02-20,Good Friday,2017-04-14,Easter Sunday,2017-04-16,Easter Monday,2017-04-17,Victoria Day,2017-05-22,Canada Day,2017-07-01,Colonel By Day,2017-08-07,Labour Day,2017-09-04,Thanksgiving,2017-10-09,Remembrance Day,2017-11-11,Christmas Eve,2017-12-24,Christmas Day,2017-12-25,Boxing Day,2017-12-26,New Year's Eve,2017-12-31,1547 Merivale,K2G 4V3,45.355327,-75.735648,613-580-2940,,,,,,,,,,,
